"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,4,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,1,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","FIN","Finland","NBR","Number","0","Units",,,3,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,125,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,4,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,10,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","FRA","France","NBR","Number","0","Units",,,17,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,107,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,98,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,10,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,7,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,22,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,39,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,10,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,7,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","DEU","Germany","NBR","Number","0","Units",,,22,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,115,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,113,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,3,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,29,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,3,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","GRC","Greece","NBR","Number","0","Units",,,13,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,87,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,76,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,3,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,5,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,6,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,14,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,3,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,5,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","HUN","Hungary","NBR","Number","0","Units",,,6,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","ISL","Iceland","NBR","Number","0","Units",,,4,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","IRL","Ireland","NBR","Number","0","Units",,,57,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","IRL","Ireland","NBR","Number","0","Units",,,46,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","IRL","Ireland","NBR","Number","0","Units",,,1,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","IRL","Ireland","NBR","Number","0","Units",,,1,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,126,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,8,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,13,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","ITA","Italy","NBR","Number","0","Units",,,23,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,160,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,13,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,12,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,9,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","JPN","Japan","NBR","Number","0","Units",,,34,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,125,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,1,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,5,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,7,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,14,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,0,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,0,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","KOR","Korea","NBR","Number","0","Units",,,0,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,564,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,162,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,49,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,9,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,90,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,148,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,20,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,7,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","MEX","Mexico","NBR","Number","0","Units",,,54,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,53,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,0,,
"CRITICAL","Number of critically endangered species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,2,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,8,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","NLD","Netherlands","NBR","Number","0","Units",,,10,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","NZL","New Zealand","NBR","Number","0","Units",,,50,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","NZL","New Zealand","NBR","Number","0","Units",,,50,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","NZL","New Zealand","NBR","Number","0","Units",,,1,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","NZL","New Zealand","NBR","Number","0","Units",,,5,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","NZL","New Zealand","NBR","Number","0","Units",,,3,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","NOR","Norway","NBR","Number","0","Units",,,71,,
